club,last_name,first_name,position,base_salary,guaranteed_compensation,year,conference
Vancouver Whitecaps,Abdallah,Aminu,M,46500.0,46500.0,2013,Western
FC Dallas,Acosta,Kellyn,M,46500.0,70500.0,2013,Western
Vancouver Whitecaps,Adekugbe,Samuel,D,46500.0,51500.0,2013,Western
Toronto FC,Agbossoumonde,Gale,D,46500.0,53166.67,2013,Eastern
New England Revolution,Agudelo,Juan,F,145000.0,175000.0,2013,Eastern
Pool,Akpan,Andre,F,67595.0,67595.0,2013,
San Jose Earthquakes,Alas,Jaime,M,90000.0,91250.0,2013,Western
Philadelphia Union,Albright,Chris,D,75000.0,75000.0,2013,Eastern
Vancouver Whitecaps,Alderson,Bryce,M,65000.0,80000.0,2013,Western
Chicago Fire,Alex,,M,110000.0,119950.0,2013,Eastern
Pool,Alexander,Eric,M,70867.5,70867.5,2013,
Portland Timbers,Alhassan,Kalif,M,80000.0,89250.0,2013,Western
Seattle Sounders FC,Alonso,Osvaldo,M,210000.0,210000.0,2013,Western
New England Revolution,Alston,Kevin,D,145000.0,194000.0,2013,Eastern
Chivas USA,Alvarez,Carlos,M,46500.0,81500.0,2013,Western
Real Salt Lake,Alvarez,Yordany,M,46500.0,46500.0,2013,Western
Chicago Fire,Amarikwa,Quincy,F,46500.0,46500.0,2013,Eastern
Chicago Fire,Anangono,Juan Luis,F,120000.0,120000.0,2013,Eastern
Philadelphia Union,Anding,Don,F,35125.0,35125.0,2013,Eastern
Chicago Fire,Anibaba,Jalil,D,91245.0,131245.0,2013,Eastern
Columbus Crew,Anor,Bernardo,M,46500.0,46500.0,2013,Eastern
Chivas USA,Antunez,Daniel,M,65000.0,72500.0,2013,Western
Toronto FC,Aparicio,Manuel,M,35125.0,35125.0,2013,Eastern
,Araujo Jr.,Paulo,F,60000.0,60000.0,2013,
Houston Dynamo,Arena,Anthony,D,35125.0,35125.0,2013,Western
Colorado Rapids,Armstrong,David,M,46500.0,55964.29,2013,Western
Montreal Impact,Arnaud,Davy,M,275000.0,290000.0,2013,Eastern
Columbus Crew,Arrieta,Jairo,F,216000.0,225375.0,2013,Eastern
Houston Dynamo,Ashe,Corey,M,101250.0,105750.0,2013,Western
Chicago Fire,Atouba,Yazid,F,46500.0,51500.0,2013,Eastern
San Jose Earthquakes,Attakora,Nana,D,61665.0,61665.0,2013,Western
Real Salt Lake,Attinella,Jeff,G,46500.0,46500.0,2013,Western
Chivas USA,Avila,Eric,M,100000.0,120000.0,2013,Western
San Jose Earthquakes,Baca,Rafael,M,49500.0,49500.0,2013,Western
FC Dallas,Baladez,Bradlee,F,35125.0,36125.0,2013,Western
Real Salt Lake,Balchan,Rich,D,35125.0,35125.0,2013,Western
San Jose Earthquakes,Ballouchy,Mehdi,M,152006.0,152006.0,2013,Western
Pool,Barklage,Brandon,M,65000.0,71428.54,2013,
New England Revolution,Barnes,Darrius,D,71467.0,72717.0,2013,Eastern
Houston Dynamo,Barnes,Giles,M,175000.0,184187.5,2013,Western
Chicago Fire,Barouch,Orr,F,46500.0,46500.0,2013,Eastern
New England Revolution,Barrett,Chad,F,105000.0,110709.17,2013,Eastern
Columbus Crew,Barson,Chad,D,46500.0,46500.0,2013,Eastern
Seattle Sounders FC,Bates,Will,F,35125.0,35125.0,2013,Western
Real Salt Lake,Beckerman,Kyle,M,300000.0,328750.0,2013,Western
Columbus Crew,Beckie,Drew,D,35125.0,35125.0,2013,Eastern
San Jose Earthquakes,Beitashour,Steven,D,49612.5,49612.5,2013,Western
Toronto FC,Bekker,Kyle,M,46500.0,72750.0,2013,Eastern
Real Salt Lake,Beltran,Anthony,D,166800.0,166800.0,2013,Western
Toronto FC,Bendik,Joe,G,46500.0,46500.0,2013,Eastern
New England Revolution,Bengtson,Jerry,F,132000.0,138840.0,2013,Eastern
FC Dallas,Benitez,Jair,D,90000.0,90000.0,2013,Western
Montreal Impact,Bernardello,Hernan,M,250008.0,250008.0,2013,Eastern
San Jose Earthquakes,Bernardez,Victor,D,100008.0,100008.0,2013,Western
Montreal Impact,Bernier,Patrice,F,143000.0,162333.25,2013,Eastern
Chicago Fire,Berry,Austin,D,63425.0,78425.0,2013,Eastern
Columbus Crew,Berti,Glauber,D,215000.0,263333.33,2013,Eastern
Pool,Besler,Matt,D,180000.0,180000.0,2013,
Pool,Bessone,Federico,D,46500.0,46500.0,2013,
Pool,Bieler,Claudio,F,200000.0,200000.0,2013,
San Jose Earthquakes,Bingham,David,G,78100.0,122475.0,2013,Western
Toronto FC,Bloom,Mark,D,46500.0,46500.0,2013,Eastern
Chivas USA,Bocanegra,Carlos,D,228000.0,261333.33,2013,Western
Chicago Fire,Bone,Corben,M,46500.0,49000.0,2013,Eastern
Houston Dynamo,Boniek Garcia,Oscar,F,130000.0,161250.0,2013,Western
Real Salt Lake,Borchers,Nat,D,200004.0,211972.75,2013,Western
Chivas USA,Borja,Carlos,D,46500.0,46500.0,2013,Western
Houston Dynamo,Boswell,Bobby,D,220000.0,220000.0,2013,Western
Pool,Bover,Ruben,M,35125.0,35125.0,2013,
Chivas USA,Bowen,Tristan,F,125000.0,156363.63,2013,Western
Toronto FC,Braun,Justin,F,112200.0,114700.0,2013,Eastern
Montreal Impact,Brovsky,Jeb,M,80000.0,84000.0,2013,Eastern
Colorado Rapids,Brown,Deshorn,F,65000.0,113000.0,2013,Western
Houston Dynamo,Bruin,Will,F,120000.0,165000.0,2013,Western
Houston Dynamo,Brunner,Eric,D,120000.0,120625.0,2013,Western
Colorado Rapids,Buddle,Edson,F,275000.0,275000.0,2013,Western
Pool,Bunbury,Teal,F,110000.0,208000.0,2013,
Seattle Sounders FC,Burch,Marc,D,75000.0,75000.0,2013,Western
Chivas USA,Burling,Bobby,D,85000.0,88333.33,2013,Western
San Jose Earthquakes,Busch,Jon,G,165000.0,176333.33,2013,Western
Montreal Impact,Bush,Evan,G,46500.0,46500.0,2013,Eastern
Pool,Bustamante,Michael,M,46500.0,46500.0,2013,
Pool,Cahill,Tim,M,3500000.0,3625000.0,2013,
Colorado Rapids,Calderon,Diego,D,50000.0,50000.0,2013,Western
New England Revolution,Caldwell,Scott,M,46500.0,54000.0,2013,Eastern
Toronto FC,Caldwell,Steven,D,79999.98,89999.98,2013,Eastern
Chivas USA,Calvert,Caleb,F,48000.0,55500.0,2013,Western
Montreal Impact,Camara,Hassoun,M,115000.0,126625.0,2013,Eastern
Vancouver Whitecaps,Cannon,Joe,G,180500.0,189916.67,2013,Western
Pool,Carney,David,M,144000.0,167000.0,2013,
Houston Dynamo,Carr,Calen,F,90338.0,94588.0,2013,Western
Houston Dynamo,Carrasco,Servando,M,46500.0,46500.0,2013,Western
Philadelphia Union,Carroll,Brian,M,176400.0,176400.0,2013,Eastern
Colorado Rapids,Cascio,Tony,M,64900.0,98650.0,2013,Western
Philadelphia Union,Casey,Conor,F,175000.0,175000.0,2013,Eastern
Seattle Sounders FC,Caskey,Alex,M,46500.0,46500.0,2013,Western
Pool,Castano,Santiago,G,35125.0,35125.0,2013,
FC Dallas,Castillo,Fabian,F,60000.0,66250.0,2013,Western
Colorado Rapids,Castrillon,Jaime,M,46500.0,46500.0,2013,Western
San Jose Earthquakes,Cato,Cordell,F,48000.0,48000.0,2013,Western
Colorado Rapids,Ceus,Steward,G,60000.0,70333.33,2013,Western
Houston Dynamo,Chabala,Michael,M,55008.0,57508.0,2013,Western
Portland Timbers,Chara,Diego,M,200004.0,243754.0,2013,Western
San Jose Earthquakes,Chavez,Marvin,M,175000.0,175000.0,2013,Western
Houston Dynamo,Ching,Brian,F,50000.0,75000.0,2013,Western
Pool,Christianson,Ian,M,46500.0,46500.0,2013,
Chivas USA,Chueca,Carlo,M,35125.0,35125.0,2013,Western
LA Galaxy,Clark,Colin,M,80000.0,80000.0,2013,Western
Houston Dynamo,Clark,Ricardo,M,274000.0,307750.0,2013,Western
Vancouver Whitecaps,Clarke,Caleb,F,46500.0,46500.0,2013,Western
LA Galaxy,Cochrane,Greg,D,35125.0,35125.0,2013,Western
Pool,Collin,Aurelien,D,250000.0,256250.0,2013,
Toronto FC,Convey,Bobby,M,200000.0,215000.0,2013,Eastern
FC Dallas,Cooper,Kenny,F,325000.0,342500.0,2013,Western
San Jose Earthquakes,Corrales,Ramiro,M,60000.0,60000.0,2013,Western
Chivas USA,Correa,Jose Erick,F,60000.0,60000.0,2013,Western
LA Galaxy,Courtois,Laurent,M,46500.0,46500.0,2013,Western
Houston Dynamo,Creavalle,Warren,D,46500.0,46500.0,2013,Western
Montreal Impact,Crepeau,Maxime,G,35125.0,35125.0,2013,Eastern
San Jose Earthquakes,Cronin,Sam,M,175000.0,177500.0,2013,Western
Philadelphia Union,Cruz,Danny,M,120000.0,126500.0,2013,Eastern
LA Galaxy,Cudicini,Carlo,G,150000.0,150000.0,2013,Western
Houston Dynamo,Cummings,Omar,F,225000.0,239000.0,2013,Western
Philadelphia Union,Daniel,Keon,M,80004.0,82891.5,2013,Eastern
Portland Timbers,Danso,Mamadou,D,83000.0,83000.0,2013,Western
Vancouver Whitecaps,Davidson,Jun Marques,M,74250.0,78019.66,2013,Western
New England Revolution,Davies,Charlie,F,48000.0,59250.0,2013,Eastern
Houston Dynamo,Davis,Brad,M,325000.0,372062.5,2013,Western
Chivas USA,de la Fuente,Bryan,F,35125.0,35125.0,2013,Western
Chivas USA,de Luna,Mario,D,120000.0,120000.0,2013,Western
LA Galaxy,DeLaGarza,AJ,D,120000.0,142500.0,2013,Western
DC United,DeLeon,Nick,M,70400.0,105400.0,2013,Eastern
Chivas USA,Delgado,Marco,M,50000.0,52500.0,2013,Western
Montreal Impact,DelPiccolo,Paolo,M,35125.0,35125.0,2013,Eastern
Vancouver Whitecaps,DeMerit,Jay,D,325000.0,375000.0,2013,Western
Seattle Sounders FC,Dempsey,Clint,F,4913004.0,5038566.5,2013,Western
Houston Dynamo,Deric,Tyler,G,80000.0,87666.67,2013,Western
DC United,DeRosario,Dwayne,M,600000.0,645333.33,2013,Eastern
Montreal Impact,Di Vaio,Marco,F,1000008.0,1937508.0,2013,Eastern
FC Dallas,Diaz,Mauro,M,312000.0,398000.0,2013,Western
Toronto FC,Dike,Bright,F,57750.0,60687.5,2013,Eastern
Houston Dynamo,Dixon,Alex,M,49612.5,54612.5,2013,Western
LA Galaxy,Donovan,Landon,F,2500000.0,2500000.0,2013,Western
New England Revolution,Dorman,Andy,M,125000.0,125000.0,2013,Eastern
Philadelphia Union,Dos Santos,Gilberto,M,60000.0,80000.0,2013,Eastern
Chicago Fire,Dos Santos,Maicon,F,157000.0,164433.33,2013,Eastern
DC United,Doyle,Conor,F,46500.0,46500.0,2013,Eastern
Houston Dynamo,Driver,Andrew,M,95000.0,95000.0,2013,Western
New England Revolution,Duckett,Bilal,D,35125.0,35125.0,2013,Eastern
Chicago Fire,Duka,Dilaver,M,140000.0,273000.0,2013,Eastern
Pool,Duke,Christian,D,35125.0,35125.0,2013,
,Dunfield,Terry,M,120000.0,120000.0,2013,
LA Galaxy,Dunivant,Todd,D,150000.0,156750.0,2013,Western
Pool,Dwyer,Dom,F,65000.0,77500.0,2013,
DC United,Dykstra,Andrew,G,46500.0,46500.0,2013,Eastern
Toronto FC,Earnshaw,Robert,F,138000.0,155150.0,2013,Eastern
Toronto FC,Eckersley,Richard,D,210000.0,310000.0,2013,Eastern
Philadelphia Union,Ekra,Yann,F,46500.0,46500.0,2013,Eastern
Pool,Ellis,Kevin,D,46500.0,47250.0,2013,
Toronto FC,Elmer,Jonas,D,124999.92,131488.2,2013,Eastern
Pool,Espindola,Fabian,F,150000.0,150000.0,2013,
Seattle Sounders FC,Estrada,David,F,48400.0,48400.0,2013,Western
Seattle Sounders FC,Evans,Brad,F,167296.0,181046.0,2013,Western
Portland Timbers,Evans,Steven,M,46500.0,46500.0,2013,Western
Philadelphia Union,Fabinho,Fabinho,D,78000.0,82500.0,2013,Eastern
New England Revolution,Fagundez,Diego,F,99996.0,127196.0,2013,Eastern
Chivas USA,Farfan,Gabriel,M,50820.0,50820.0,2013,Western
Philadelphia Union,Farfan,Michael,M,98670.0,136170.0,2013,Eastern
New England Revolution,Farrell,Andrew,D,80000.0,161000.0,2013,Eastern
Pool,Feilhaber,Benny,M,300000.0,312187.5,2013,
Philadelphia Union,Fernandes,Leo,M,35125.0,35125.0,2013,Eastern
Chicago Fire,Fernandez,Alvaro,M,300000.0,366666.67,2013,Eastern
Real Salt Lake,Fernandez,Eduardo,G,35125.0,35125.0,2013,Western
FC Dallas,Fernandez,Raul,G,150000.0,237500.0,2013,Western
Montreal Impact,Ferrari,Matteo,D,240000.0,295475.0,2013,Eastern
FC Dallas,Ferreira,David,F,625000.0,730000.0,2013,Western
Real Salt Lake,Findley,Robbie,F,175000.0,205500.0,2013,Western
Columbus Crew,Finlay,Ethan,F,47300.0,62300.0,2013,Eastern
Columbus Crew,Finley,Ryan,F,46500.0,74000.0,2013,Eastern
Chivas USA,Fondy,Matthew,F,46500.0,46500.0,2013,Western
Seattle Sounders FC,Ford,Josh,G,46500.0,46500.0,2013,Western
Chicago Fire,Francis,Shaun,D,46500.0,46500.0,2013,Eastern
LA Galaxy,Franklin,Sean,D,225000.0,248333.33,2013,Western
Toronto FC,Frei,Stefan,G,145000.0,200000.0,2013,Eastern
Chivas USA,Frias,Jaime,D,60000.0,60000.0,2013,Western
San Jose Earthquakes,Fucito,Michael,F,55000.0,57889.79,2013,Western
Philadelphia Union,Gaddis,Raymon,D,46500.0,46500.0,2013,Eastern
FC Dallas,Garcia,Danny,M,48000.0,64000.0,2013,Western
Real Salt Lake,Garcia,Olmes,F,120000.0,120000.0,2013,Western
LA Galaxy,Garcia,Rafael,M,46500.0,46500.0,2013,Western
Pool,Gardner,Joshua,M,60000.0,60000.0,2013,
San Jose Earthquakes,Gargan,Daniel,M,88000.0,88000.0,2013,Western
San Jose Earthquakes,Garza,Sam,M,71500.0,98000.0,2013,Western
LA Galaxy,Gaul,Bryan,F,46500.0,46500.0,2013,Western
Columbus Crew,Gaven,Eddie,F,190000.0,195000.0,2013,Eastern
Seattle Sounders FC,Gavin,Blair,M,35125.0,35125.0,2013,Western
Columbus Crew,Gehrig,Eric,M,46500.0,46500.0,2013,Eastern
Columbus Crew,George,Kevan,M,46500.0,46500.0,2013,Eastern
Real Salt Lake,Gil,Luis,M,118750.0,213833.33,2013,Western
Portland Timbers,Gleeson,Jake,G,60000.0,63263.75,2013,Western
FC Dallas,Goncalves,Jackson,D,144000.0,165375.0,2013,Western
New England Revolution,Goncalves,Jose,D,75000.0,104375.0,2013,Eastern
FC Dallas,Gonzalez,Jesse,G,35125.0,35125.0,2013,Western
Seattle Sounders FC,Gonzalez,Leonardo,D,135000.0,135000.0,2013,Western
LA Galaxy,Gonzalez,Omar,D,205000.0,282000.0,2013,Western
San Jose Earthquakes,Goodson,Clarence,D,315000.0,342000.0,2013,Western
San Jose Earthquakes,Gordon,Alan,F,175000.0,196666.67,2013,Western
Real Salt Lake,Grabavoy,Ned,M,155000.0,161666.67,2013,Western
Colorado Rapids,Griffiths,Brenton,D,35125.0,35125.0,2013,Western
Real Salt Lake,Grossman,Cole,M,46500.0,46500.0,2013,Western
Columbus Crew,Gruenebaum,Andy,G,92220.0,93886.67,2013,Eastern
Seattle Sounders FC,Gspurning,Michael,G,210000.0,285000.0,2013,Western
Chicago Fire,Gulley,Kellen,F,65000.0,79000.0,2013,Eastern
New England Revolution,Guy,Ryan,F,48510.0,48510.0,2013,Eastern
Seattle Sounders FC,Hahnemann,Marcus,G,60000.0,60000.0,2013,Western
Toronto FC,Hall,Jeremy,D,80000.0,90000.0,2013,Eastern
Houston Dynamo,Hall,Tally,G,185000.0,198500.0,2013,Western
DC United,Hamid,Bill,G,75000.0,89750.0,2013,Eastern
San Jose Earthquakes,Harden,Ty,D,65000.0,68415.21,2013,Western
Portland Timbers,Harrington,Michael,M,140000.0,166833.33,2013,Western
Colorado Rapids,Harris,Atiba,F,165000.0,173275.0,2013,Western
Pool,Hartman,Kevin,G,46500.0,54000.0,2013,
Vancouver Whitecaps,Harvey,Jordan,D,112500.0,112500.0,2013,Western
FC Dallas,Hassli,Eric,F,237276.0,262276.0,2013,Western
FC Dallas,Hedges,Matt,D,49500.0,64500.0,2013,Western
Vancouver Whitecaps,Heinemann,Tommy,F,51975.0,51975.0,2013,Western
Toronto FC,Henry,Doneil,D,50000.0,62083.33,2013,Eastern
Pool,Henry,Thierry,F,3750000.0,4350000.0,2013,
Philadelphia Union,Hernandez,Cristhian,M,62500.0,64375.0,2013,Eastern
San Jose Earthquakes,Hernandez,Jason,D,205000.0,208333.33,2013,Western
FC Dallas,Hernandez,Moises,D,46500.0,48125.0,2013,Western
Pool,Herrick,Doug,G,35125.0,35125.0,2013,
Vancouver Whitecaps,Hertzog,Corey,F,50004.0,60670.67,2013,Western
Columbus Crew,Higuain,Federico,F,440000.0,604000.0,2013,Eastern
Colorado Rapids,Hill,Kamani,M,46500.0,46500.0,2013,Western
LA Galaxy,Hoffman,Chandler,F,71500.0,97500.0,2013,Western
Pool,Holgersson,Markus,D,199500.0,199500.0,2013,
Philadelphia Union,Hoppenot,Antoine,F,48400.0,48400.0,2013,Eastern
Portland Timbers,Horst,David,D,70000.0,70000.0,2013,Western
New England Revolution,Horth,Matthew,F,35125.0,35125.0,2013,Eastern
Columbus Crew,Horton,Aaron,F,65000.0,80500.0,2013,Eastern
Vancouver Whitecaps,Hurtado,Erik,F,46500.0,81500.0,2013,Western
Seattle Sounders FC,Hurtado,Jhon Kennedy,D,190000.0,190000.0,2013,Western
Columbus Crew,Hyland,Kyle,D,35125.0,35125.0,2013,Eastern
Seattle Sounders FC,Ianni,Patrick,D,150000.0,150000.0,2013,Western
DC United,Iapichino,Dennis,D,110000.0,110000.0,2013,Eastern
FC Dallas,Ihemelu,Ugo,D,200000.0,200000.0,2013,Western
New England Revolution,Imbongo,Dimitry,F,90000.0,99875.0,2013,Eastern
Chivas USA,Iraheta,Marvin,M,46500.0,46500.0,2013,Western
Colorado Rapids,Irwin,Clint,G,35125.0,35125.0,2013,Western
FC Dallas,Jacobson,Andrew,M,122500.0,135000.0,2013,Western
San Jose Earthquakes,Jahn,Adam,F,35125.0,35125.0,2013,Western
DC United,Jakovic,Dejan,D,280000.0,303341.33,2013,Eastern
Chivas USA,Jazic,Ante,D,132187.5,132187.5,2013,Western
Portland Timbers,Jean-Baptiste,Andrew,D,65000.0,80000.0,2013,Western
DC United,Jeffrey,Jared,M,54000.0,60200.0,2013,Eastern
Portland Timbers,Jewsbury,Jack,D,185000.0,194750.0,2013,Western
LA Galaxy,Jimenez,Hector,M,46500.0,46500.0,2013,Western
FC Dallas,John,George,D,275000.0,301666.67,2013,Western
Seattle Sounders FC,Johnson,Eddie,F,150000.0,156333.33,2013,Western
Houston Dynamo,Johnson,Jason,F,70000.0,111000.0,2013,Western
Portland Timbers,Johnson,Ryan,M,144704.0,144704.0,2013,Western
Chicago Fire,Johnson,Sean,G,120000.0,153000.0,2013,Eastern
Portland Timbers,Johnson,Will,F,243750.0,243750.0,2013,Western
Philadelphia Union,Jordan,Greg,M,46500.0,46500.0,2013,Eastern
Pool,Joseph,Peterson,M,46500.0,46500.0,2013,
Seattle Sounders FC,Joseph,Shalrie,M,60000.0,105500.0,2013,Western
Chicago Fire,Jumper,Hunter,D,35125.0,35125.0,2013,Eastern
LA Galaxy,Juninho,,M,290000.0,290000.0,2013,Western
Portland Timbers,Kah,Pa Modou,D,63999.96,68999.96,2013,Western
Chicago Fire,Kann,Alec,G,35125.0,35125.0,2013,Eastern
Philadelphia Union,Kassel,Matt,M,46500.0,46500.0,2013,Eastern
LA Galaxy,Keane,Robbie,F,4000000.0,4333333.33,2013,Western
FC Dallas,Keel,Stephen,D,46500.0,46500.0,2013,Western
DC United,Kemp,Taylor,D,35125.0,35125.0,2013,Eastern
Pool,Kempin,Jonathan,G,60000.0,67083.33,2013,
Chivas USA,Kennedy,Dan,G,192500.0,194166.67,2013,Western
Pool,Kimura,Kosuke,D,100000.0,100000.0,2013,
Colorado Rapids,Kindle,Kory,D,35125.0,35125.0,2013,Western
Chicago Fire,King,Brendan,M,35125.0,35125.0,2013,Eastern
Chicago Fire,Kinney,Steven,D,46500.0,46500.0,2013,Eastern
DC United,Kitchen,Perry,D,105000.0,190450.0,2013,Eastern
Vancouver Whitecaps,Klazura,Greg,D,46500.0,46500.0,2013,Western
Philadelphia Union,Kleberson,Jose,M,495000.0,495000.0,2013,Eastern
Colorado Rapids,Klute,Chris,D,46500.0,46500.0,2013,Western
Vancouver Whitecaps,Knighton,Brad,G,66000.0,68600.0,2013,Western
Vancouver Whitecaps,Kobayashi,Daigo,M,225000.0,238833.33,2013,Western
Portland Timbers,Kocic,Milos,G,49612.0,49612.0,2013,Western
Toronto FC,Koevermans,Danny,F,1250000.0,1663323.33,2013,Eastern
Vancouver Whitecaps,Koffie,Gershon,M,165000.0,176000.0,2013,Western
Toronto FC,Konopka,Chris,G,46500.0,46500.0,2013,Eastern
DC United,Korb,Chris,D,49613.0,49613.0,2013,Eastern
Pool,Kronberg,Eric,G,76835.0,76835.0,2013,
Toronto FC,Laba,Matias,M,200000.0,200000.0,2013,Eastern
Colorado Rapids,LaBrocca,Nick,M,120000.0,138333.33,2013,Western
Pool,Lade,Connor,D,55000.0,59213.21,2013,
Philadelphia Union,Lahoud,Michael,M,90000.0,93333.33,2013,Eastern
Toronto FC,Lambe,Reggie,M,67500.0,70000.0,2013,Eastern
Columbus Crew,Lampson,Matt,G,46500.0,46500.0,2013,Eastern
Chicago Fire,Larentowicz,Jeff,D,225000.0,231000.0,2013,Eastern
New England Revolution,Latigue,Gabe,M,35125.0,35125.0,2013,Eastern
Philadelphia Union,Le Toux,Sebastian,M,200000.0,212812.5,2013,Eastern
Montreal Impact,Lefevre,Wandrille,M,35125.0,35125.0,2013,Eastern
San Jose Earthquakes,Lenhart,Steven,F,210000.0,217500.0,2013,Western
Vancouver Whitecaps,Leveron,Johnny,D,60000.0,71187.5,2013,Western
Chicago Fire,Lindpere,Joel,M,180000.0,205000.0,2013,Eastern
Houston Dynamo,Lopez,Alexander,M,192000.0,212000.0,2013,Western
Real Salt Lake,Lopez,Benjamin,F,35125.0,37730.43,2013,Western
Pool,Lopez,Mikey,M,75000.0,147000.0,2013,
FC Dallas,Loyd,Zach,M,92372.5,136997.5,2013,Western
FC Dallas,Luccin,Peter,M,90000.0,131000.0,2013,Western
Seattle Sounders FC,Lund,Philip,M,35125.0,35125.0,2013,Western
Pool,Luyindula,Peguy,F,79999.92,79999.92,2013,
Philadelphia Union,MacMath,Zac,G,110000.0,155000.0,2013,Eastern
Chicago Fire,Magee,Mike,F,185000.0,191666.67,2013,Eastern
Montreal Impact,Mallace,Calum,M,47300.0,62300.0,2013,Eastern
Vancouver Whitecaps,Manneh,Kekuta,F,55000.0,84500.0,2013,Western
Real Salt Lake,Mansally,Kenny,F,50000.0,57000.0,2013,Western
Montreal Impact,Mapp,Justin,M,125000.0,137500.0,2013,Eastern
Houston Dynamo,Marscheider,Erich,G,46500.0,46500.0,2013,Western
Columbus Crew,Marshall,Chad,D,330000.0,361250.0,2013,Eastern
DC United,Martin,Collin,M,35125.0,49291.67,2013,Eastern
Real Salt Lake,Martinez,Enzo,M,71500.0,97500.0,2013,Western
San Jose Earthquakes,Martinez,Walter,F,90000.0,90000.0,2013,Western
Montreal Impact,Martins,Felipe,M,150000.0,182500.0,2013,Eastern
Seattle Sounders FC,Martins,Obafemi,F,1600000.0,1725000.0,2013,Western
LA Galaxy,Mastroeni,Pablo,M,150000.0,200000.0,2013,Western
Vancouver Whitecaps,Mattocks,Darren,F,120000.0,212000.0,2013,Western
Real Salt Lake,Maund,Aaron,D,35125.0,43458.33,2013,Western
LA Galaxy,McBean,Jack,F,80000.0,101000.0,2013,Western
New England Revolution,McCarthy,Stephen,M,87120.0,118370.0,2013,Eastern
Pool,McCarty,Dax,M,180000.0,222500.0,2013,
Real Salt Lake,McDonald,Brandon,M,235000.0,273250.0,2013,Western
San Jose Earthquakes,McGlynn,Peter,D,35125.0,35125.0,2013,Western
Philadelphia Union,McInerney,Jack,F,125500.0,189666.67,2013,Eastern
Portland Timbers,McKenzie,Rauwshan,D,46500.0,46500.0,2013,Western
Chivas USA,McLain,Patrick,G,46500.0,46500.0,2013,Western
Philadelphia Union,McLaughlin,James,M,60000.0,69000.0,2013,Eastern
Pool,Meara,Ryan,G,65000.0,66250.0,2013,
Pool,Mechack,Jerome,D,35125.0,35125.0,2013,
Pool,Medranda,Jimmy,M,35125.0,35125.0,2013,
Chivas USA,Mejia,Edgar,M,140000.0,140000.0,2013,Western
Chivas USA,Melia,Tim,G,60000.0,65000.0,2013,Western
Colorado Rapids,Mera,German,D,46500.0,46500.0,2013,Western
Columbus Crew,Meram,Justin,F,56320.0,80695.0,2013,Eastern
Montreal Impact,Messoudi,Zakaria,M,35125.0,35125.0,2013,Eastern
LA Galaxy,Meyer,Tommy,D,47300.0,61050.0,2013,Western
Pool,Miazga,Matt,D,60000.0,66250.0,2013,
Vancouver Whitecaps,Miller,Kenny,F,1114992.0,1124992.0,2013,Western
Pool,Miller,Kyle,M,35125.0,35125.0,2013,
Pool,Miller,Roy,M,123745.0,123745.0,2013,
Portland Timbers,Miller,Ryan,D,60000.0,65000.0,2013,Western
Chivas USA,Minda,Oswaldo,M,125000.0,143750.0,2013,Western
Vancouver Whitecaps,Mitchell,Carlyle,D,46500.0,46500.0,2013,Western
Seattle Sounders FC,Moffat,Adam,M,150000.0,161608.33,2013,Western
Seattle Sounders FC,Montero,Fredy,F,700000.0,856000.0,2013,Western
Colorado Rapids,Moor,Drew,D,235000.0,247000.0,2013,Western
Real Salt Lake,Morales,Javier,M,300000.0,300000.0,2013,Western
Chivas USA,Morales,Julio,F,35125.0,35125.0,2013,Western
Pool,Moreno,Amando,F,35125.0,35125.0,2013,
Toronto FC,Morgan,Ashtone,D,60000.0,72000.0,2013,Eastern
San Jose Earthquakes,Morrow,Justin,D,130000.0,139562.5,2013,Western
Colorado Rapids,Mullan,Brian,M,162000.0,170335.0,2013,Western
San Jose Earthquakes,Muller,Tommy,D,35125.0,35125.0,2013,Western
,Muniz,Nico,M,46500.0,48500.0,2013,
Colorado Rapids,Mwanga,Danny,F,130000.0,171250.0,2013,Western
Pool,Myers,Chance,M,105000.0,120666.67,2013,
Pool,Nagamura,Paulo,M,265000.0,270500.0,2013,
Portland Timbers,Nagbe,Darlington,F,130000.0,266000.0,2013,Western
Portland Timbers,Nanchoff,Michael,M,46500.0,46500.0,2013,Western
Seattle Sounders FC,Neagle,Lamar,M,48400.0,48400.0,2013,Western
DC United,Neal,Lewis,M,90000.0,96440.63,2013,Eastern
FC Dallas,Neres da Cruz,Erick,M,84000.0,85875.0,2013,Western
Montreal Impact,Nesta,Alessandro,D,260000.0,305000.0,2013,Eastern
San Jose Earthquakes,Newton,Evan,G,46500.0,46500.0,2013,Western
New England Revolution,Nguyen,Lee,F,73600.0,80100.0,2013,Eastern
Pool,Nielsen,Jimmy,G,200000.0,220000.0,2013,
Philadelphia Union,Nikolov,Oka,G,46500.0,46500.0,2013,Eastern
FC Dallas,Nunez,Ramon,M,65000.0,75000.0,2013,Western
Chicago Fire,Nyarko,Patrick,F,230000.0,249500.0,2013,Eastern
DC United,Nyassi,Sainey,M,88200.0,94950.0,2013,Eastern
Montreal Impact,Nyassi,Sanna,M,140000.0,147625.0,2013,Eastern
Pool,Obekop,Marius,M,35125.0,35125.0,2013,
Vancouver Whitecaps,O'Brien,Andy,D,200012.04,230012.04,2013,Western
Columbus Crew,Oduro,Dominic,F,120015.0,122015.0,2013,Eastern
Philadelphia Union,Okugo,Amobi,M,101250.0,184250.0,2013,Eastern
