club,last_name,first_name,position,base_salary,guaranteed_compensation,year,conference
FC Dallas,Ulloa,Victor,M,42000.0,44500.0,2011,Western
Chivas USA,Umana,Michael,D,138000.0,145500.0,2011,Western
Portland Timbers,Umony,Brian,F,65004.0,85004.0,2011,Western
Vancouver Whitecaps,Vagenas,Peter,M,48000.0,48000.0,2011,Western
Philadelphia Union,Valdes,Carlos,D,180000.0,180000.0,2011,Eastern
Chivas USA,Valentin,Zarek,D,80000.0,132000.0,2011,Western
Columbus Crew,Veeder,Korey,D,32600.0,34475.0,2011,Eastern
Pool,Viator,Eddy,D,90000.0,101875.0,2011,
Chicago Fire,Videira,Michael,M,42000.0,42625.0,2011,Eastern
FC Dallas,Villar,Ricardo,M,150000.0,150000.0,2011,Western
Vancouver Whitecaps,Wagner,Blake,D,42000.0,42000.0,2011,Western
Seattle Sounders FC,Wahl,Tyson,D,51870.0,54770.0,2011,Western
Colorado Rapids,Wallace,Anthony,M,60375.0,60375.0,2011,Western
Portland Timbers,Wallace,Rodney,M,90000.0,139000.0,2011,Western
San Jose Earthquakes,Ward,Tim,D,60500.0,60500.0,2011,Western
Real Salt Lake,Warner,Collen,F,42000.0,55750.0,2011,Western
FC Dallas,Warshaw,Bobby,D,42000.0,53250.0,2011,Western
Pool,Warzycha,Konrad,M,32604.0,32604.0,2011,
Houston Dynamo,Watson,Je-Vaughn,M,75000.0,91875.0,2011,Western
Chicago Fire,Watson-Siriboe,Kwame,D,44000.0,44000.0,2011,Eastern
Houston Dynamo,Weaver,Cam,F,89250.0,97500.0,2011,Western
San Jose Earthquakes,Weber,Andrew,G,65004.0,65004.0,2011,Western
DC United,White,Ethan,D,55000.0,71000.0,2011,Eastern
Seattle Sounders FC,White,O'Brian,F,100000.0,100000.0,2011,Western
FC Dallas,Wiedeman,Andrew,F,75000.0,118000.0,2011,Western
Columbus Crew,Williams,Josh,D,42000.0,42000.0,2011,Eastern
Philadelphia Union,Williams,Sheanon,F,42000.0,42000.0,2011,Eastern
